2007-09-13,-Infinity,-Infinity,-Infinity,0.0,9223372036854775807
2007-09-13,-Infinity,-Infinity,-Infinity,-Infinity,9223372036854775807
2007-09-14,-Infinity,-Infinity,-Infinity,-Infinity,9223372036854775807
2007-09-14,-Infinity,0.0,0.0,0.0,9223372036854775807
2016-09-23,4500.0,4500.0,4500.0,4500.0,0
2016-10-11,54000.0,54000.0,54000.0,54000.0,0
2016-10-12,36000.0,18000.0,36000.0,18000.0,0
2016-10-13,54000.0,54000.0,54000.0,54000.0,0
2016-10-14,36000.0,36000.0,36000.0,36000.0,0
2016-10-17,36000.0,36000.0,36000.0,36000.0,0
2016-10-18,54000.0,54000.0,54000.0,54000.0,0
2016-10-19,53998.2,54000.0,54000.0,53998.2,0
2016-10-20,45000.0,54000.0,54000.0,45000.0,0
2016-10-21,54000.0,54000.0,54000.0,54000.0,0
2016-11-11,26100.0,26100.0,26100.0,26100.0,0
2016-11-14,44100.0,45000.0,45000.0,44100.0,0
2016-11-16,28800.0,45000.0,45000.0,26100.0,0
2016-11-22,36000.0,36000.0,36000.0,36000.0,0
2016-11-28,36000.0,36000.0,36000.0,36000.0,0
2016-11-29,27000.0,27000.0,27000.0,27000.0,0
2016-11-30,36000.0,40500.0,45000.0,36000.0,0
2016-12-06,31500.0,31500.0,31500.0,31500.0,0
2016-12-07,36000.0,36000.0,36000.0,36000.0,0
2016-12-08,35820.0,36000.0,36000.0,35820.0,0
2016-12-12,22500.0,22500.0,22500.0,22500.0,0
2016-12-16,31500.0,31500.0,31500.0,31500.0,0
2016-12-19,31500.0,27900.0,31500.0,27900.0,0
2016-12-20,35100.0,31500.0,35100.0,27900.0,0
2016-12-27,27900.0,27900.0,27900.0,27900.0,0
2017-01-04,28080.0,28080.0,28080.0,28080.0,0
2017-01-05,27900.0,27900.0,27900.0,27900.0,0
2017-01-06,27900.0,28080.0,28080.0,27900.0,0
2017-01-09,28080.0,28080.0,28080.0,28080.0,0
2017-01-13,28080.0,28080.0,28080.0,28080.0,0
2017-01-23,28080.0,28080.0,28080.0,28080.0,0
2017-01-26,27000.0,27000.0,27000.0,27000.0,0
2017-01-30,25200.0,25200.0,25200.0,25200.0,0
2017-01-31,25200.0,25200.0,25200.0,25200.0,0
2017-02-02,25200.0,25200.0,25200.0,25200.0,0
2017-02-06,25200.0,25200.0,25200.0,25200.0,0
2017-02-08,22860.0,22860.0,22860.0,22860.0,0
2017-02-09,22582.8,22500.0,22582.8,22500.0,0
2017-02-14,22500.0,24300.0,24300.0,22500.0,0
2017-02-15,27180.0,28800.0,28800.0,27180.0,0
2017-02-16,27000.0,28800.0,28800.0,27000.0,0
2017-02-17,29340.0,31500.0,31500.0,29340.0,0
2017-02-21,31140.0,33300.0,33300.0,30960.0,0
2017-02-23,31320.0,23400.0,31320.0,23400.0,0
2017-02-24,23580.0,23580.0,23580.0,23580.0,0
2017-02-27,24300.0,21600.0,24300.0,21600.0,0
2017-02-28,24300.0,18720.0,24300.0,18720.0,0
2017-03-02,22500.0,22500.0,22500.0,22500.0,0
2017-03-07,18900.0,18720.0,18900.0,18720.0,0
2017-03-08,18000.0,18900.0,18900.0,16426.8,1
2017-03-10,18000.0,18900.0,18900.0,17820.0,0
2017-03-15,20520.0,20520.0,20520.0,20520.0,0
2017-03-16,20520.0,20520.0,20520.0,20520.0,0
2017-03-22,21600.0,21600.0,21600.0,21600.0,0
2017-03-23,21240.0,21240.0,21240.0,21240.0,0
2017-03-24,21240.0,20520.0,21240.0,20520.0,0
2017-03-27,19080.0,19080.0,19080.0,19080.0,0
2017-03-28,19620.0,19620.0,19620.0,19620.0,0
2017-03-29,19440.0,19440.0,19440.0,19440.0,0
2017-03-30,19620.0,19620.0,19620.0,19620.0,0
2017-04-05,19620.0,19620.0,19620.0,19620.0,0
2017-04-06,20700.0,19800.0,20700.0,19800.0,0
2017-04-26,20700.0,19800.0,20700.0,19800.0,0
2017-04-28,18900.0,18900.0,18900.0,18900.0,0
2017-05-04,18900.0,18900.0,18900.0,18900.0,0
2017-05-05,18900.0,18900.0,18900.0,18900.0,0
2017-05-11,19800.0,19800.0,19800.0,19800.0,0
2017-05-12,21600.0,21600.0,21600.0,21600.0,0
2017-05-15,19800.0,19800.0,19800.0,19800.0,0
2017-06-01,18900.0,19440.0,19440.0,18900.0,0
2017-06-02,18540.0,18000.0,18540.0,18000.0,0
2017-06-06,18000.0,18000.0,18000.0,18000.0,0
2017-06-12,18180.0,18000.0,18180.0,18000.0,0
2017-06-13,18000.0,18000.0,18000.0,18000.0,0
2017-06-15,18180.0,18180.0,18180.0,18180.0,0
2017-06-16,16200.0,16398.0,18180.0,16200.0,0
2017-06-23,16740.0,16740.0,16740.0,16740.0,0
2017-06-27,18180.0,19080.0,19080.0,18180.0,0
2017-06-28,19080.0,18180.0,19080.0,18180.0,0
2017-06-29,19080.0,19080.0,19080.0,19080.0,0
2017-07-05,19080.0,19080.0,19080.0,19080.0,0
2017-07-13,19980.0,19980.0,19980.0,19980.0,0
2017-07-19,19980.0,14400.0,19980.0,14400.0,0
2017-07-20,17998.2,18000.0,18000.0,17998.2,0
2017-07-25,18900.0,18000.0,18900.0,18000.0,0
2017-07-31,18000.0,18000.0,18000.0,18000.0,0
2017-08-01,18000.0,18000.0,18000.0,18000.0,0
2017-08-03,17100.0,17640.0,17640.0,17100.0,0
2017-08-04,18000.0,18000.0,18000.0,18000.0,0
2017-08-11,18144.0,18180.0,18360.0,18144.0,0
2017-08-14,18360.0,18000.0,18360.0,18000.0,0
2017-08-17,18180.0,18540.0,18540.0,18180.0,0
2017-08-18,16200.0,18720.0,18720.0,16200.0,0
2017-08-21,18720.0,18900.0,18900.0,18720.0,0
2017-08-22,18180.0,18180.0,18180.0,18180.0,0
2017-08-23,18000.0,18000.0,18000.0,18000.0,0
2017-08-25,18180.0,18000.0,18180.0,18000.0,0
2017-08-28,18000.0,18000.0,18000.0,18000.0,0
2017-09-01,18000.0,18000.0,18000.0,18000.0,0
2017-09-13,18180.0,18180.0,18180.0,18180.0,0
2017-09-19,18360.0,18180.0,18360.0,18180.0,0
2017-09-21,18180.0,18000.0,18180.0,17640.0,0
2017-09-26,18540.0,18540.0,18540.0,18540.0,0
2017-09-29,16200.0,18000.0,18000.0,16200.0,0
2017-10-03,18900.0,18900.0,18900.0,18900.0,0
2017-10-04,22500.0,19260.0,22500.0,19260.0,0
2017-10-05,20145.6,20700.0,20700.0,20700.0,0
2017-10-06,20700.0,22500.0,22500.0,20700.0,0
2017-10-09,22140.0,22680.0,22680.0,22140.0,0
2017-10-11,22680.0,22860.0,22860.0,22680.0,0
2017-10-12,25200.0,25920.0,45000.0,25200.0,0
2017-10-13,25920.0,25920.0,25920.0,25920.0,0
2017-10-16,23400.0,23400.0,23400.0,23400.0,0
2017-10-17,23400.0,23400.0,23400.0,23400.0,0
2017-10-18,23400.0,23400.0,23400.0,23400.0,0
2017-10-19,23400.0,23400.0,23400.0,23400.0,0
2017-10-23,23400.0,22500.0,23400.0,19800.0,0
2017-10-24,22500.0,22500.0,22500.0,22500.0,0
2017-10-25,22500.0,22500.0,22500.0,22500.0,0
2017-10-27,22500.0,21600.0,22500.0,21600.0,0
2017-10-30,18000.0,18000.0,18000.0,18000.0,0
2017-10-31,22500.0,18000.0,22500.0,18000.0,0
2017-11-01,18000.0,18180.0,18180.0,18000.0,0
2017-11-02,19800.0,15300.0,21600.0,15300.0,0
2017-11-03,20700.0,19800.0,20700.0,15300.0,0
2017-11-06,19800.0,19800.0,20700.0,19800.0,0
2017-11-07,19980.0,19980.0,19980.0,19980.0,0
2017-11-09,19800.0,19800.0,19800.0,19800.0,0
2017-11-10,19800.0,19800.0,19800.0,19800.0,0
2017-11-14,19800.0,19800.0,19800.0,19800.0,0
2017-11-17,18900.0,18451.8,18900.0,18000.0,0
2017-11-27,17100.0,17100.0,17100.0,17100.0,0
2017-11-28,17244.0,18360.0,18360.0,18360.0,0
2017-11-29,18360.0,18360.0,18360.0,18360.0,0
2017-11-30,18360.0,18360.0,18360.0,18360.0,0
2017-12-07,16200.0,16200.0,16200.0,16200.0,0
2017-12-11,18000.0,18000.0,18000.0,18000.0,0
2017-12-12,18000.0,18036.0,18036.0,18000.0,0
2017-12-13,18000.0,18000.0,18000.0,18000.0,0
2017-12-15,18900.0,17587.8,18900.0,11700.0,0
2017-12-22,17820.0,17820.0,17820.0,17820.0,0
2017-12-26,17037.54,17037.54,17037.54,17037.54,0
2017-12-29,17100.0,17100.0,17100.0,17100.0,0
2018-01-04,18000.0,18000.0,18000.0,18000.0,0
2018-01-08,17100.0,17100.0,17100.0,17100.0,0
2018-01-09,17307.0,17307.0,17307.0,17307.0,0
2018-01-10,18000.0,18000.0,18000.0,18000.0,0
2018-01-18,14418.0,14418.0,14418.0,14418.0,0
2018-01-19,17640.0,17640.0,17640.0,17640.0,0
2018-01-23,15300.0,15300.0,15300.0,15300.0,0
2018-01-29,17640.0,17640.0,17640.0,17640.0,0
2018-01-30,15300.0,15300.0,15300.0,15300.0,0
2018-01-31,16200.0,16200.0,16200.0,16200.0,0
2018-02-01,16200.0,16200.0,16200.0,16200.0,0
2018-02-02,15300.0,15093.0,15300.0,15093.0,0
2018-02-05,12600.0,12600.0,12600.0,12600.0,0
2018-02-07,15354.0,15354.0,15354.0,15354.0,0
2018-02-08,13518.0,13518.0,13518.0,13518.0,0
2018-02-12,17098.2,9898.2,17100.0,6660.0,3
2018-02-13,11700.0,12600.0,12600.0,11700.0,0
2018-03-02,12600.0,12600.0,12600.0,12600.0,0
2018-03-06,12780.0,10800.0,12780.0,10800.0,0
2018-03-08,13320.0,13320.0,13320.0,13320.0,0
2018-03-12,13860.0,13860.0,13860.0,13860.0,0
2018-03-13,13860.0,9900.0,13860.0,9900.0,0
2018-03-15,12420.0,12420.0,12420.0,12420.0,0
2018-03-16,13320.0,13320.0,13320.0,13320.0,0
2018-03-21,13320.0,13320.0,13320.0,13320.0,0
2018-03-22,12601.8,10800.0,12601.8,10800.0,0
2018-03-27,12600.0,12598.2,12600.0,12598.2,0
2018-04-05,9900.0,11122.38,11122.38,9900.0,0
2018-04-06,11338.2,12600.0,12600.0,11338.2,0
2018-04-09,16020.0,16020.0,16020.0,16020.0,0
2018-04-10,9900.0,9900.0,9900.0,9900.0,0
2018-04-11,15552.0,11340.0,15552.0,11340.0,0
2018-04-17,16020.0,16020.0,16020.0,16020.0,0
2018-04-19,16020.0,16020.0,16020.0,16020.0,0
2018-04-26,16020.0,16020.0,16020.0,16020.0,0
2018-04-30,13500.0,13500.0,13500.0,13500.0,0
2018-05-04,15768.0,16020.0,16020.0,15768.0,0
2018-05-07,16020.0,16020.0,16020.0,16020.0,0
2018-05-08,16020.0,13500.0,16020.0,13500.0,0
2018-05-23,14400.0,14400.0,14400.0,14400.0,0
2018-05-24,12600.0,12600.0,12600.0,12600.0,0
2018-05-25,12600.0,11340.0,12600.0,11340.0,0
2018-06-01,12240.0,12240.0,12240.0,12240.0,0
2018-06-04,14400.0,14400.0,14400.0,14400.0,0
2018-06-06,14400.0,14400.0,14400.0,14400.0,0
2018-06-07,16200.0,11340.0,16200.0,10458.0,0
2018-06-08,14400.0,17281.98,17281.98,14400.0,0
2018-06-11,18000.0,12600.0,18000.0,12600.0,0
2018-06-14,11700.0,16920.0,16920.0,11700.0,0
2018-06-15,11700.0,11700.0,11700.0,11700.0,0
2018-06-18,11700.0,11700.0,11700.0,11700.0,0
2018-06-20,16560.0,16560.0,16560.0,16560.0,0
2018-06-27,11700.0,11700.0,11700.0,11700.0,0
2018-06-28,15768.0,11880.0,15768.0,11880.0,0
2018-06-29,10800.0,12600.0,12600.0,10800.0,0
2018-07-05,17100.0,17100.0,17100.0,17100.0,0
2018-07-20,10800.0,13158.0,13158.0,10800.0,0
2018-07-25,12600.0,12600.0,12600.0,12600.0,0
2018-07-26,16200.0,16200.0,16200.0,16200.0,0
2018-07-30,10800.0,9900.0,11700.0,9720.0,1
2018-07-31,9900.0,9900.0,9900.0,9900.0,0
2018-08-01,9900.0,9001.8,9900.0,9001.8,0
2018-08-02,16200.0,16200.0,16200.0,16200.0,0
2018-08-07,9900.0,9900.0,9900.0,9900.0,0
2018-08-08,11700.0,11700.0,11700.0,11700.0,0
2018-08-09,12240.0,11935.8,12240.0,11935.8,0
2018-08-15,9180.0,9180.0,9180.0,9180.0,0
2018-08-17,9000.0,8980.2,9000.0,7201.8,1
2018-08-21,9000.0,9990.0,9990.0,8820.0,0
2018-08-22,9360.0,9360.0,9360.0,9360.0,0
2018-08-23,9180.0,9180.0,9180.0,9180.0,0
2018-08-24,9180.0,9180.0,9180.0,9180.0,0
2018-08-27,9180.0,9180.0,9900.0,9180.0,0
2018-08-30,9180.0,8820.0,9360.0,8820.0,0
2018-09-04,7560.0,7560.0,7560.0,7560.0,0
2018-09-07,7560.0,9180.0,9180.0,7560.0,0
2018-09-10,7380.0,7290.0,9180.0,7290.0,0
2018-09-11,7290.0,7200.0,7290.0,7200.0,0
2018-09-12,8100.0,7020.0,8100.0,6480.0,0
2018-09-19,7902.0,7020.0,7902.0,7020.0,0
2018-09-24,7020.0,5400.0,7020.0,5400.0,2
2018-09-25,5400.0,7200.0,11160.0,5400.0,1
2018-09-26,9504.0,8964.0,9522.0,8964.0,0
2018-10-02,8964.0,7200.0,8964.0,7200.0,0
2018-10-03,7200.0,7200.0,7200.0,7200.0,0
2018-10-05,7200.0,7200.0,7200.0,7200.0,0
2018-10-10,9540.0,9540.0,9540.0,9540.0,0
2018-10-11,9540.0,9540.0,9540.0,9540.0,0
2018-10-12,5616.0,5616.0,5616.0,5616.0,0
2018-10-18,14040.0,14040.0,14040.0,14040.0,0
2018-10-19,6750.0,7200.0,12420.0,6750.0,0
2018-11-02,7200.0,7200.0,7200.0,7200.0,0
2018-11-05,13860.0,13860.0,13860.0,13860.0,0
2018-11-06,7272.0,7272.0,7272.0,7272.0,0
2018-11-08,9000.0,9000.0,9000.0,9000.0,0
2018-11-12,9000.0,9000.0,9000.0,9000.0,0
2018-11-20,7254.0,9000.0,9000.0,7254.0,0
2018-11-21,7254.0,7200.0,7254.0,7200.0,0
2018-11-27,7218.0,7200.0,7218.0,7200.0,0
2018-11-28,6300.0,6300.0,6300.0,6300.0,0
2018-11-29,9000.0,7200.0,9000.0,7200.0,1
2018-12-03,6120.0,6120.0,6120.0,6120.0,0
2018-12-07,6120.0,6120.0,6120.0,6120.0,0
2018-12-19,6120.0,6120.0,6120.0,6120.0,0
2018-12-20,6300.0,6300.0,6300.0,6300.0,1
2019-01-07,7920.0,7920.0,7920.0,7920.0,0
2019-01-10,6300.0,6300.0,6300.0,6300.0,1
2019-01-15,6300.0,5940.0,6300.0,5940.0,0
2019-01-16,6300.0,6300.0,6300.0,6300.0,0
2019-01-17,5940.0,5940.0,5940.0,5940.0,0
2019-01-18,5580.0,5400.0,5580.0,5400.0,0
2019-01-22,7020.0,7020.0,7020.0,7020.0,0
2019-01-25,6480.0,6660.0,6660.0,6480.0,0
2019-02-01,6300.0,5058.0,6300.0,5058.0,0
2019-02-04,5058.0,4860.0,5058.0,4860.0,0
2019-02-05,5400.0,6300.0,6300.0,5400.0,0
2019-02-08,6300.0,4860.0,6300.0,4860.0,0
2019-02-22,4860.0,4500.0,4860.0,4500.0,0
2019-02-25,6084.0,6084.0,6084.0,6084.0,0
2019-02-27,6084.0,6084.0,6084.0,6084.0,0
2019-03-01,7200.0,8640.0,8640.0,7200.0,0
2019-03-11,7200.0,7200.0,7200.0,7200.0,0
