Cusip, Name      
001055AQ5, AFLAC INC           
001055AR3, AFLAC INC           
001055AY8, AFLAC INC           
001055BJ0, AFLAC INC           
001055BK7, AFLAC INC           
00108WAF7, AEP TEX INC         
00108WAH3, AEP TEX INC         
00108WAJ9, AEP TEX INC         
00108WAK6, AEP TEX INC         
00108WAM2, AEP TEX INC         
00108WAN0, AEP TEX INC         
00108WAP5, AEP TEX INC         
00108WAQ3, AEP TEX INC         
00108WAR1, AEP TEX INC         
00115AAF6, AEP TRANSMISSION CO 
00115AAH2, AEP TRANSMISSION CO 
00115AAJ8, AEP TRANSMISSION CO 
00115AAK5, AEP TRANSMISSION CO 
00115AAL3, AEP TRANSMISSION CO 
00115AAM1, AEP TRANSMISSION CO 
00115AAN9, AEP TRANSMISSION CO 
00115AAP4, AEP TRANSMISSION CO 
00115AAQ2, AEP TRANSMISSION CO 
001192AD5, SOUTHERN CO GAS CAP 
001192AH6, SOUTHERN CO GAS CAP 
001192AK9, SOUTHERN CO GAS CAP 
001192AL7, SOUTHERN CO GAS CAP 
001192AM5, SOUTHERN CO GAS CAP 
00130HCE3, AES CORP            
00130HCG8, AES CORP            
00130HCH6, AES CORP            
00185AAB0, AON PLC             
00185AAC8, AON PLC             
00185AAD6, AON PLC             
00185AAF1, AON PLC (IE)        
00185AAG9, AON PLC (IE)        
00185AAH7, AON PLC             
00185AAK0, AON PLC             
00206RAB8, AT&T INC            
00206RAD4, AT&T INC            
00206RAG7, AT&T INC            
00206RAS1, AT&T INC            
00206RBA9, AT&T INC            
00206RBH4, AT&T INC            
00206RBK7, AT&T INC            
00206RCG5, AT&T INC            
00206RCP5, AT&T INC            
00206RCQ3, AT&T INC            
00206RCU4, AT&T INC            
00206RDF6, AT&T INC            
00206RDH2, AT&T INC            
00206RDJ8, AT&T INC            
00206RDK5, AT&T INC            
00206RDQ2, AT&T INC            
00206RDR0, AT&T INC            
00206RDS8, AT&T INC            
00206RDT6, AT&T INC            
00206RFU1, AT&T INC            
00206RFW7, AT&T INC            
00206RGH9, AT&T INC            
00206RGL0, AT&T INC            
00206RGQ9, AT&T INC            
00206RGX4, AT&T INC            
00206RHA3, AT&T INC            
00206RHJ4, AT&T INC            
00206RHK1, AT&T INC            
00206RHQ8, AT&T INC            
00206RHT2, AT&T INC            
00206RHV7, AT&T INC            
00206RHW5, AT&T INC            
00206RJF0, AT&T INC            
00206RJK9, AT&T INC            
00206RJL7, AT&T INC            
00206RJX1, AT&T INC            
00206RJY9, AT&T INC            
00206RJZ6, AT&T INC            
00206RKA9, AT&T INC            
00206RKB7, AT&T INC            
00206RKE1, AT&T INC            
00206RKF8, AT&T INC            
00206RKG6, AT&T INC            
00206RKH4, AT&T INC            
00206RKJ0, AT&T INC            
00206RLJ9, AT&T INC            
00206RLV2, AT&T INC            
00206RMJ8, AT&T INC            
00206RML3, AT&T INC            
00206RMM1, AT&T INC            
00206RMN9, AT&T INC            
00206RMP4, AT&T INC            
00206RMT6, AT&T INC            
00217GAA1, APTIV PLC / APTIV   
00217GAB9, APTIV PLC / APTIV   
00217GAC7, APTIV PLC / APTIV   
002819AC4, ABBOTT LABORATORIES 
002824AV2, ABBOTT LABORATORIES 
002824AY6, ABBOTT LABORATORIES 
002824BB5, ABBOTT LABORATORIES 
002824BG4, ABBOTT LABORATORIES 
002824BH2, ABBOTT LABORATORIES 
002824BM1, ABBOTT LABORATORIES 
002824BN9, ABBOTT LABORATORIES 
002824BP4, ABBOTT LABORATORIES 
002824BQ2, ABBOTT LABORATORIES 
00287YAM1, ABBVIE INC          
00287YAQ2, ABBVIE INC          
00287YAR0, ABBVIE INC          
00287YAS8, ABBVIE INC          
00287YAV1, ABBVIE INC          
00287YAW9, ABBVIE INC          
00287YAY5, ABBVIE INC          
00287YBC2, ABBVIE INC          
00287YBD0, ABBVIE INC          
00287YBF5, ABBVIE INC          
00287YBV0, ABBVIE INC          
00287YBX6, ABBVIE INC          
00287YBZ1, ABBVIE INC          
00287YCA5, ABBVIE INC          
00287YCB3, ABBVIE INC          
00287YCV9, ABBVIE INC          
00287YCX5, ABBVIE INC          
00287YCY3, ABBVIE INC          
00287YCZ0, ABBVIE INC          
00287YDA4, ABBVIE INC          
00287YDB2, ABBVIE INC          
002920AC0, SANTANDER UK PLC    
00351DAA4, ABINGTON BK PLYMOUTH
00351DAB2, ABINGTON BK PLYMOUTH
00440EAH0, CHUBB INA HLDGS INC 
00440EAQ0, CHUBB INA HLDGS INC 
00440EAR8, CHUBB INA HLDGS INC 
